,Credit Amount,gender,Education level,Marital Status,Age,Y,totall bill statement,total amount paid,avg repayment
80,240000,2,2,2,44,1,0,0,-2.0
81,470000,2,3,3,33,0,614823,21926,0.0
82,360000,2,1,2,26,0,294903,161355,-0.0
83,60000,1,3,2,30,1,143566,5345,0.0
84,400000,2,2,1,44,0,700952,22753,0.0
85,50000,2,3,2,49,0,177499,6052,0.0
86,160000,1,2,2,33,0,667013,101747,0.0
87,360000,2,1,1,45,1,3510,2340,-0.0
88,160000,2,2,2,32,0,31623,8216,-0.0
89,130000,2,1,1,35,0,226534,56705,-0.0
90,20000,1,3,2,44,0,61309,6151,1.0
91,200000,1,1,1,53,1,862167,32800,2.0
92,280000,2,1,2,39,0,15360,3968,-1.0
93,100000,2,1,2,27,0,3555,7555,-2.0
94,160000,2,2,1,37,0,4162,11018,-1.0
95,60000,2,2,2,23,0,197839,6261,0.0
96,90000,1,2,2,35,0,354716,11756,0.0
97,360000,1,1,1,43,0,58460,120613,-1.0
98,150000,1,1,2,27,0,479411,23841,0.0
99,50000,2,3,1,22,0,83794,3783,0.0
100,20000,1,2,1,38,1,93217,5685,-0.0
101,140000,1,1,2,32,0,13679,13007,-2.0
102,380000,2,1,2,30,0,132602,42019,-1.0
103,480000,1,1,1,63,0,2761015,130971,1.0
104,50000,2,3,2,22,1,205366,6870,0.0
105,60000,2,2,2,26,0,342038,13517,2.0
106,70000,2,2,2,24,0,32109,28529,-2.0
107,80000,2,2,1,36,0,17865,12794,-1.0
108,350000,1,1,2,52,0,10987,15285,-1.0
109,130000,1,2,2,38,0,680938,287768,-0.0
110,360000,1,2,1,35,0,-618,0,-2.0
111,330000,2,1,1,31,0,639580,32747,0.0
112,50000,1,3,1,47,0,93139,7000,0.0
113,280000,1,2,1,41,0,855008,40604,2.0
114,100000,2,1,2,24,0,335186,17866,0.0
115,50000,1,2,2,41,0,119110,5471,0.0
116,30000,1,1,2,24,1,117660,6312,1.0
117,240000,1,1,2,28,0,7456,7656,-1.0
118,80000,1,2,2,26,1,99022,7700,0.0
119,400000,1,2,1,34,0,71828,57891,-1.0
120,240000,2,2,2,38,0,209703,11073,-0.0
121,50000,1,3,2,37,1,290245,10235,2.0
122,450000,1,1,1,40,1,0,0,-2.0
123,110000,2,1,1,48,0,0,0,-2.0
124,310000,2,2,1,35,1,1626538,53973,0.0
125,20000,1,1,2,27,0,112100,4308,0.0
126,20000,1,2,2,23,0,0,0,-2.0
127,200000,1,3,2,52,0,617685,22056,0.0
128,180000,1,1,1,36,1,668882,14771,0.0
129,50000,1,2,1,51,1,30548,6200,0.0
130,60000,1,3,1,55,0,264125,7511,1.0
131,30000,2,1,2,23,0,32776,31886,-1.0
132,240000,1,1,2,41,0,11279,8944,-0.0
133,420000,1,2,1,34,0,1349911,53309,0.0
134,330000,1,3,1,46,0,1369317,49096,0.0
135,30000,2,2,2,22,0,123482,5460,0.0
136,240000,1,2,1,34,0,77708,4627,1.0
137,150000,1,1,2,27,0,140829,20000,0.0
138,210000,2,2,1,33,0,43256,7046,0.0
139,50000,2,3,1,51,1,6932,6180,-1.0
140,50000,1,1,2,24,0,208330,8960,0.0
141,240000,1,1,2,47,1,0,0,-2.0
142,180000,1,2,2,28,0,3828,5580,-1.0
143,50000,1,2,2,23,0,99487,13500,1.0
144,170000,1,2,2,29,0,67988,65846,-2.0
145,20000,1,1,2,29,0,26510,23641,-1.0
146,50000,1,1,2,28,0,48184,7183,0.0
147,170000,2,2,2,27,1,105012,3752,0.0
148,200000,1,1,2,34,0,794273,87000,0.0
149,80000,2,2,1,23,0,61950,4121,1.0
150,260000,2,1,1,60,0,21038,24469,-1.0
151,140000,1,2,1,32,0,411323,16267,0.0
152,80000,1,1,2,25,0,256528,63000,0.0
153,350000,1,1,2,41,0,4744,4536,-1.0
154,280000,2,2,1,56,0,971621,133200,0.0
155,30000,2,3,2,26,0,70072,8700,0.0
156,140000,1,1,1,34,0,222980,35389,0.0
157,200000,2,1,2,37,0,575407,22560,0.0
158,200000,2,3,2,30,0,1018160,37788,0.0
159,210000,1,3,1,45,1,805451,65268,4.0
160,50000,1,3,1,57,0,79884,3800,1.0
161,30000,1,1,2,41,0,162596,8150,2.0
162,50000,1,2,2,27,0,3396,2640,0.0
163,290000,1,3,1,47,0,3637,2376,-1.0
164,250000,2,1,1,34,0,918942,39850,0.0
165,60000,2,2,1,46,0,150304,10000,0.0
166,110000,2,1,2,27,0,539339,21100,0.0
167,370000,1,1,2,50,0,63070,61944,-2.0
168,100000,1,2,1,27,0,310089,55906,0.0
169,90000,2,2,1,35,0,472951,24652,0.0
170,50000,2,2,2,22,0,171359,6795,0.0
171,270000,1,2,2,37,0,180209,19000,0.0
172,300000,2,1,2,30,0,11780,11846,-1.0
173,50000,2,2,2,22,0,53787,31149,-0.0
174,50000,2,1,2,24,1,-11569,0,-2.0
175,360000,1,1,2,29,0,77,77,-1.0
176,130000,1,3,1,56,1,410575,14500,2.0
177,80000,1,1,2,30,0,15624,6004,-0.0
178,50000,1,2,2,30,0,220483,6500,1.0
179,20000,2,2,2,22,0,83914,6913,0.0
180,80000,2,2,1,29,0,323559,8800,0.0
181,240000,1,1,2,37,0,118261,84191,-0.0
182,80000,2,3,2,35,0,129487,29000,-0.0
183,500000,2,1,1,47,0,579243,222550,0.0
184,60000,2,2,1,24,1,222443,10837,0.0
185,20000,1,2,2,25,0,50904,5353,-0.0
186,100000,2,2,1,38,1,92351,5600,1.0
187,360000,2,1,2,32,0,163546,199288,-1.0
188,200000,2,3,2,47,1,1182582,35984,2.0
189,130000,2,2,1,34,0,57742,17397,0.0
190,20000,2,2,2,31,0,125792,1760,3.0
191,310000,1,1,2,32,0,353740,40419,0.0
192,60000,2,1,2,27,1,130018,6752,1.0
193,180000,2,1,2,29,0,45854,22881,-1.0
194,180000,2,1,2,24,0,68239,38067,-0.0
195,50000,1,2,1,36,0,84870,26511,-0.0
196,50000,2,1,2,24,1,228759,8132,2.0
197,150000,2,2,1,34,0,1616,1616,-2.0
198,20000,2,1,2,22,0,103511,24766,-0.0
199,500000,2,1,1,34,0,6457,21861,-2.0
200,30000,2,3,2,22,1,117854,2903,1.0
201,180000,2,1,1,38,0,750,0,-2.0
202,140000,1,1,2,31,0,130872,38300,1.0
203,140000,2,1,2,26,0,64236,49839,-1.0
204,120000,1,2,2,26,0,688894,29152,0.0
205,360000,2,2,1,48,0,1202779,37500,0.0
206,20000,1,3,1,43,0,98941,31538,-0.0
207,100000,1,1,1,47,0,3033,5023,-1.0
208,210000,2,2,1,41,1,9657,6988,-1.0
209,80000,2,2,2,24,1,391407,13838,0.0
210,330000,2,1,1,50,0,19462,10868,-1.0
211,220000,1,1,2,24,0,419979,103985,-0.0
212,210000,2,1,1,38,1,2384,11877,-1.0
213,40000,2,3,1,43,0,215945,8404,0.0
214,30000,1,2,2,39,0,103603,8493,0.0
215,470000,1,2,2,27,0,2002818,55690,1.0
216,30000,1,3,1,42,0,3510,2490,-0.0
217,240000,2,2,1,36,1,-5676,0,-2.0
218,80000,1,2,2,36,0,470809,19500,0.0
219,110000,2,3,0,31,0,453847,26954,0.0
220,310000,2,1,2,38,0,6092,4668,-1.0
221,360000,2,1,1,40,1,685565,32100,1.0
222,330000,2,3,2,45,0,2005418,73223,0.0
223,300000,2,2,2,35,0,1431315,74582,0.0
224,320000,2,2,2,33,0,437268,41866,0.0
225,50000,2,3,2,37,1,243968,34317,1.0
226,170000,2,1,2,28,0,772102,48549,0.0
227,350000,1,3,1,44,0,8384,5119,-1.0
228,20000,1,2,1,37,0,108461,7564,0.0
229,50000,1,2,2,23,1,202501,9074,0.0
230,20000,2,3,2,24,0,63912,5133,0.0
231,50000,2,1,2,24,0,132930,6732,0.0
232,20000,1,2,2,23,1,94656,13200,1.0
233,50000,1,2,1,26,0,197548,51938,-1.0
234,190000,1,2,2,34,1,828058,34887,1.0
235,60000,2,2,1,33,0,175794,5935,0.0
236,80000,1,1,2,35,0,41852,36293,-1.0
237,150000,2,2,2,27,0,399780,12625,0.0
238,210000,2,1,2,31,0,18130,19989,-2.0
239,240000,2,3,1,50,1,1313227,50997,0.0
240,140000,2,2,3,41,1,115854,13597,0.0
241,60000,2,1,2,28,0,44436,2285,0.0
242,50000,1,1,2,39,0,241244,12800,0.0
243,50000,2,2,2,27,0,169234,7950,0.0
244,180000,2,1,2,32,0,14634,5818,0.0
245,30000,2,1,2,40,0,613,595,1.0
246,20000,2,2,2,40,0,79889,5918,-0.0
247,250000,2,2,1,75,0,63417,11727,-1.0
248,100000,2,2,2,27,0,196498,8260,0.0
249,330000,1,1,2,25,0,256005,15230,0.0
250,50000,1,3,1,46,0,117871,7027,0.0
251,50000,2,2,2,26,0,240862,10062,1.0
252,30000,1,2,2,28,0,135160,8056,0.0
253,140000,2,2,2,26,1,631439,25041,0.0
254,160000,2,1,2,28,0,337391,132311,-0.0
255,400000,2,2,2,29,0,34030,14825,-1.0
256,50000,1,2,1,25,0,173552,6842,0.0
257,140000,2,2,1,48,0,27095,27501,-1.0
258,160000,2,2,1,33,0,82207,68661,-1.0
259,100000,2,3,1,43,0,62170,0,-1.0
260,220000,1,1,1,48,1,1129440,42020,0.0
261,510000,2,1,2,29,0,513211,160470,0.0
262,50000,1,2,2,29,0,202201,16512,0.0
263,160000,2,1,1,38,0,63277,44142,-0.0
264,230000,2,1,2,37,0,53735,51952,-2.0
265,80000,2,1,2,37,0,35054,28957,-1.0
266,150000,2,2,1,25,0,7104,1264,-1.0
267,10000,1,3,2,23,0,52136,3932,0.0
268,130000,2,3,2,49,1,357781,9986,0.0
269,40000,2,1,2,48,0,207975,9200,0.0
270,50000,1,2,2,27,1,73717,6631,1.0
271,100000,1,3,2,32,0,180209,9686,0.0
272,120000,1,1,1,34,0,4414,1800,0.0
273,260000,2,1,2,58,1,0,0,-2.0
274,200000,2,2,2,33,0,80871,11522,0.0
275,360000,2,2,2,28,1,0,0,-2.0
276,70000,2,2,2,36,0,265753,28247,0.0
277,460000,1,1,1,40,1,28039,27927,-0.0
278,50000,2,1,2,26,0,2736,1896,-1.0
279,50000,1,3,1,33,0,211791,7004,0.0
280,250000,2,2,1,31,0,604011,26900,0.0
281,30000,2,1,2,27,0,6448,3164,-0.0
282,270000,1,2,1,44,0,486594,144214,-0.0
283,180000,2,3,2,30,0,760211,27192,0.0
284,100000,2,1,2,28,0,323182,20198,0.0
285,230000,2,3,1,32,0,667517,29000,0.0
286,210000,2,1,1,46,0,211039,120470,-1.0
287,210000,1,1,2,38,0,358970,13804,0.0
288,440000,2,2,1,46,0,828179,29746,0.0
289,100000,2,2,2,25,1,403638,13210,0.0
290,240000,2,2,1,46,0,56097,6295,0.0
291,280000,1,1,2,33,1,-336259,347739,-1.0
292,50000,2,2,2,22,1,0,0,-2.0
293,30000,1,2,1,43,0,12972,2000,2.0
294,10000,1,2,2,27,1,56848,5470,0.0
295,130000,1,1,2,29,0,0,1500,-2.0
296,200000,1,1,2,31,0,978958,36425,0.0
297,120000,2,2,1,29,0,7765,8715,-1.0
298,210000,2,2,1,36,0,858448,32709,0.0
299,280000,2,1,1,36,0,273640,11718,0.0
300,300000,1,1,2,34,1,45400,32799,-1.0
301,100000,1,2,2,37,0,462851,15303,0.0
302,440000,2,1,2,36,0,0,162000,-2.0
303,50000,2,3,1,40,0,154301,7606,0.0
304,20000,2,1,2,25,1,98447,11500,0.0
305,200000,2,1,2,27,0,18236,12927,-0.0
306,110000,2,2,2,26,0,12860,12124,-2.0
307,500000,2,2,1,36,0,47529,37052,-1.0
308,300000,2,2,1,27,0,5215,5215,-1.0
309,30000,1,3,1,55,1,72863,8900,3.0
310,60000,2,1,2,27,0,65912,47111,-1.0
311,400000,2,2,1,38,0,21153,19153,-1.0
312,180000,2,2,1,34,0,827666,32000,0.0
313,20000,1,1,2,40,0,79047,10600,0.0
314,200000,2,3,1,49,1,333047,16286,1.0
315,100000,1,1,2,27,0,194503,4871,0.0
316,60000,1,2,2,23,1,171532,8013,0.0
317,110000,2,2,2,36,0,303817,13500,0.0
318,260000,2,3,1,53,0,2025,2484,-1.0
319,50000,2,3,1,46,0,213516,7372,1.0
320,180000,1,2,2,29,0,-12,0,-2.0
321,110000,1,2,2,29,1,311346,10354,1.0
322,340000,2,1,2,27,0,923137,90147,0.0
323,50000,1,2,2,24,0,31650,11019,-0.0
324,230000,2,2,1,28,1,55327,11750,-1.0
325,360000,2,2,2,32,0,575409,57000,0.0
326,210000,1,2,2,43,0,160699,52013,-0.0
327,220000,2,2,1,41,1,3375,1925,0.0
328,60000,2,2,1,34,1,170082,10111,2.0
329,340000,1,2,1,55,0,137566,164386,-2.0
330,150000,1,1,1,40,0,624055,25700,2.0
331,200000,2,2,1,37,1,47390,51400,-0.0
332,130000,2,2,2,40,1,66514,7200,0.0
333,60000,2,1,2,28,0,96266,30696,0.0
334,400000,2,2,1,43,0,79988,79988,-1.0
335,20000,1,1,2,27,0,116747,5503,0.0
336,190000,2,1,2,28,0,912875,36836,0.0
337,260000,2,1,2,30,0,953100,44000,0.0
338,140000,2,2,2,31,0,390,0,-2.0
339,50000,2,2,1,31,1,234080,10607,0.0
340,120000,2,1,2,34,0,16986,20204,-1.0
341,240000,2,2,2,30,0,368,2159,-2.0
342,50000,1,2,2,36,0,18847,3390,-0.0
343,200000,2,1,2,29,0,76669,31055,0.0
344,180000,1,1,1,39,0,920802,284903,-0.0
345,180000,2,1,2,26,0,734847,26710,0.0
346,160000,2,1,2,29,0,9832,24500,-1.0
347,100000,2,2,2,26,0,19223,13974,-0.0
348,50000,2,2,2,29,1,273459,13000,0.0
349,140000,2,2,2,31,0,839924,34500,0.0
350,30000,2,2,2,26,1,117890,6064,0.0
351,90000,1,1,2,26,0,86582,31842,-0.0
352,200000,1,1,1,36,0,-26795,171133,-1.0
353,380000,1,1,2,30,1,0,0,-2.0
354,80000,2,2,2,43,0,303152,12045,0.0
355,50000,1,3,1,58,0,109216,6673,1.0
356,180000,1,2,1,45,1,177278,8781,-0.0
357,240000,2,2,2,26,0,724940,27398,0.0
358,380000,1,2,2,34,0,1082561,64410,0.0
359,110000,2,4,2,24,0,487656,19300,0.0
360,260000,1,1,1,34,0,137687,121666,-1.0
361,500000,2,2,2,23,1,2926653,75500,2.0
362,320000,2,2,2,30,0,436318,15669,0.0
363,50000,1,2,2,32,0,248859,5485,2.0
364,110000,1,1,1,40,1,4498,2564,-1.0
365,230000,2,1,2,35,0,3314,3073,-2.0
366,330000,2,2,1,56,0,15640,16061,-1.0
367,50000,2,2,1,61,0,218302,10251,0.0
368,10000,1,2,2,24,0,14752,1650,1.0
369,300000,1,1,1,40,0,0,0,-2.0
370,20000,2,2,1,32,1,93331,3190,1.0
371,180000,1,2,1,36,1,83538,0,-1.0
372,160000,1,1,2,30,0,61480,119926,-1.0
373,90000,2,1,2,34,0,253776,20640,1.0
374,30000,1,3,3,54,0,141140,12000,0.0
375,180000,1,1,1,46,0,836186,189463,0.0
376,30000,1,3,1,58,0,126272,8016,0.0
377,30000,1,2,1,43,0,132258,7488,1.0
378,140000,2,1,2,28,0,45024,35946,-1.0
379,210000,1,1,2,30,0,327465,25500,0.0
380,50000,1,2,2,31,1,83951,16327,0.0
381,130000,2,2,2,29,0,472379,20500,0.0
382,50000,2,2,1,37,1,16397,3500,1.0
383,140000,1,3,1,36,0,538393,47700,0.0
384,170000,2,2,2,28,1,29372,3899,0.0
385,80000,1,2,2,25,0,107251,18103,-0.0
386,410000,2,5,1,42,0,1741454,63800,0.0
387,80000,2,1,2,29,0,80000,80000,-1.0
388,80000,1,3,1,73,1,416184,23430,1.0
389,150000,1,2,1,43,0,944099,36834,0.0
390,260000,1,1,1,30,1,2586,131815,-1.0
391,350000,1,1,1,38,0,0,0,-2.0
392,280000,2,2,1,39,1,174954,48684,0.0
393,310000,1,2,1,44,0,503434,20078,0.0
394,140000,2,2,2,29,0,118369,16500,0.0
395,360000,1,1,1,51,0,63000,25000,-2.0
396,140000,2,1,2,27,0,858345,43600,0.0
397,100000,1,1,2,38,0,240783,5141,0.0
398,50000,2,2,2,22,0,1480,1480,-2.0
399,210000,2,2,1,30,0,567259,23202,0.0
400,120000,2,2,2,25,0,703798,21679,2.0
401,240000,1,1,2,29,0,666907,204634,-0.0
402,60000,2,3,3,42,0,185007,9885,0.0
403,150000,1,1,2,41,1,7098,5291,-0.0
404,30000,1,2,1,48,0,161543,8942,0.0
405,160000,2,1,2,29,1,974815,30512,2.0
406,200000,1,1,1,52,0,92108,92473,-2.0
407,120000,2,2,1,25,0,47869,6000,-1.0
408,500000,1,1,1,37,0,2466458,64709,0.0
409,320000,2,1,2,27,0,365115,67601,0.0
410,280000,1,1,2,31,0,1043732,42823,0.0
411,60000,2,1,2,23,1,185629,8209,2.0
412,200000,2,1,1,38,0,257,517,-1.0
413,230000,2,1,1,32,0,11600,11611,-1.0
414,230000,2,2,2,27,1,64332,7441,0.0
415,480000,2,3,1,41,0,292489,279713,-2.0
416,50000,2,3,1,35,0,27500,5640,-2.0
417,200000,2,1,2,31,0,23286,19872,-2.0
418,50000,2,1,2,30,0,104694,7800,0.0
419,50000,1,2,1,48,0,180417,15461,0.0
420,260000,2,1,2,36,1,0,0,-2.0
421,30000,1,1,2,24,0,166661,8607,1.0
422,440000,2,1,2,29,0,962256,42156,0.0
423,230000,2,2,2,38,0,17733,9709,-1.0
424,200000,1,2,1,38,1,613953,20500,1.0
425,490000,2,2,1,30,0,1185021,43181,0.0
426,80000,2,2,1,32,0,11262,0,-2.0
427,20000,2,3,2,49,1,79043,10123,1.0
428,170000,2,1,2,31,1,1393,1393,-1.0
429,70000,1,1,2,27,0,293401,36641,0.0
430,210000,2,2,2,33,0,762633,24500,0.0
431,90000,2,2,2,25,0,465009,18601,0.0
432,390000,2,1,2,27,1,1772871,62172,0.0
433,110000,2,1,2,29,0,304292,13557,0.0
434,580000,2,1,1,36,0,994160,36784,0.0
435,360000,1,3,1,55,0,36696,25244,-1.0
436,270000,2,2,1,32,1,1359821,42000,2.0
437,60000,2,1,2,27,0,14672,650,-1.0
438,110000,1,3,1,37,0,367490,13600,0.0
439,50000,2,1,1,25,0,235192,8773,0.0
440,80000,2,1,2,23,1,339098,49268,0.0
441,50000,1,2,2,23,0,28024,16630,-1.0
442,100000,1,1,2,32,0,531060,21237,1.0
443,30000,2,1,2,26,0,4137,4137,-1.0
444,200000,2,1,2,27,0,730818,34070,0.0
445,240000,1,1,2,44,1,1306045,51436,0.0
446,220000,1,2,2,34,0,160668,6300,0.0
447,160000,2,1,2,28,0,601165,19300,0.0
448,180000,2,1,1,53,0,83747,32279,-1.0
449,200000,1,4,1,42,0,170347,12043,0.0
450,140000,2,3,1,30,0,461266,27121,0.0
451,380000,1,1,1,51,1,0,0,-2.0
452,600000,1,1,1,53,1,2718542,91000,1.0
453,260000,1,2,2,37,0,935929,168022,-0.0
454,200000,2,1,2,26,0,162165,7394,-1.0
455,80000,1,2,2,42,0,331586,61032,0.0
456,40000,1,2,2,39,0,124960,14049,-0.0
457,130000,1,3,2,39,0,439958,18000,2.0
458,50000,1,1,2,32,0,99206,5000,-0.0
459,230000,2,2,1,41,0,48732,59373,-1.0
460,70000,1,2,1,48,1,156587,14807,-0.0
461,180000,2,2,1,38,0,838496,36029,0.0
462,80000,2,2,1,36,0,28137,28667,-1.0
463,290000,2,2,2,26,0,248603,115536,-0.0
464,230000,2,1,2,28,0,564897,144032,0.0
465,170000,2,3,3,56,0,2141,2755,-1.0
466,230000,1,1,1,59,1,1210604,42822,-0.0
467,220000,1,1,2,38,1,1188181,45147,0.0
468,230000,1,2,2,32,0,142857,5236,0.0
469,500000,1,2,1,38,0,300881,99568,-0.0
470,90000,2,1,1,41,0,19471,14731,-1.0
471,390000,2,3,2,35,1,1864430,67884,0.0
472,400000,2,2,2,41,0,1618141,51938,0.0
473,180000,1,2,1,34,0,11563,11076,-1.0
474,60000,1,3,1,38,0,192042,9500,1.0
475,120000,2,2,1,32,0,19210,20172,-1.0
476,60000,2,2,2,29,0,167658,6820,0.0
477,50000,1,1,2,44,0,195918,7869,0.0
478,70000,2,2,1,37,0,380598,14935,0.0
479,500000,2,1,1,38,0,2751,2301,-0.0
480,200000,1,1,2,31,0,0,0,-2.0
481,250000,2,2,1,40,0,274820,193164,0.0
482,140000,1,2,2,26,1,832487,39650,1.0
483,70000,2,2,2,28,0,169724,10806,0.0
484,90000,1,3,1,48,0,411870,14486,2.0
485,100000,2,2,1,43,0,10198,9818,-1.0
486,190000,1,2,1,31,0,894199,29086,0.0
487,230000,2,1,1,42,0,52633,45768,-1.0
488,320000,1,2,1,39,0,556223,23059,0.0
489,220000,2,2,1,36,1,4024,4024,-1.0
490,260000,2,1,1,34,0,37990,29865,-1.0
491,90000,2,2,2,32,0,573,157,-2.0
492,30000,2,2,1,43,0,144207,4610,2.0
493,260000,1,2,2,30,0,668040,22116,0.0
494,170000,2,2,2,28,0,46228,4308,-1.0
495,80000,2,1,1,28,1,58976,3476,0.0
496,50000,1,1,1,41,0,2336,4250,-1.0
497,200000,2,3,2,47,0,1196650,43749,0.0
498,20000,1,2,2,23,0,123892,10465,0.0
499,250000,2,1,1,49,0,1819,1771,-1.0
500,20000,1,1,1,38,0,114642,7939,1.0
501,30000,2,2,1,38,0,138451,8200,1.0
502,90000,2,2,1,35,0,162740,12500,2.0
503,230000,2,6,2,46,0,1249171,49500,0.0
504,130000,2,1,1,33,1,107017,5000,0.0
505,30000,1,6,1,53,0,0,0,-2.0
506,160000,1,1,2,35,0,3200,2805,-1.0
507,500000,2,2,2,43,0,761573,819093,-1.0
508,180000,2,2,2,28,0,226042,10128,0.0
509,80000,2,2,1,30,0,75825,4800,0.0
510,120000,1,1,2,26,0,11330,10446,-1.0
511,130000,1,2,1,31,0,6514,5643,-0.0
512,120000,2,2,2,35,1,1440,1440,-1.0
513,360000,1,1,2,28,0,132271,116088,-1.0
514,50000,1,2,2,23,1,189259,8800,2.0
515,20000,2,2,2,23,0,103607,4938,0.0
516,100000,1,3,1,56,0,472054,99730,-0.0
517,70000,1,3,1,32,0,415116,19970,0.0
518,50000,1,2,1,47,0,108988,11797,0.0
519,10000,2,2,2,22,0,59270,4607,0.0
520,290000,2,1,1,34,0,624930,39000,0.0
521,30000,2,1,1,31,0,110402,7645,0.0
522,410000,2,2,2,27,0,237536,96874,0.0
523,360000,1,1,2,28,1,424799,454830,-1.0
524,140000,2,2,1,42,1,501478,27167,0.0
525,210000,2,1,2,32,0,427893,17600,0.0
526,220000,2,2,2,27,0,20097,171909,-1.0
527,20000,1,2,2,27,0,116201,4500,1.0
528,620000,2,2,1,45,1,979950,30700,1.0
529,360000,1,1,2,26,0,4245,4298,-1.0
530,20000,2,2,2,21,0,52614,36511,0.0
531,50000,1,2,2,23,0,129497,28536,0.0
532,50000,1,2,3,30,0,218334,6935,0.0
533,10000,1,2,2,46,1,36955,3766,1.0
534,100000,2,3,1,50,1,356645,17050,2.0
535,50000,1,1,2,26,0,11223,9519,-2.0
536,60000,1,2,2,25,0,17388,14013,-1.0
537,440000,2,1,2,35,0,1590980,55700,0.0
538,120000,1,2,1,44,0,421362,14449,0.0
539,50000,2,1,2,52,0,7741,1318,-1.0
540,110000,2,2,1,40,0,576533,23100,2.0
541,200000,2,1,2,38,0,887,805,-1.0
542,150000,2,1,2,28,0,318,318,-1.0
543,30000,2,2,1,36,1,169630,4700,2.0
544,100000,2,1,2,24,0,164636,51245,-0.0
545,360000,2,1,1,34,0,58482,40069,-0.0
546,390000,2,1,2,31,0,284264,23000,0.0
547,220000,2,1,1,41,1,-525,0,-2.0
548,160000,2,2,2,25,0,0,0,-2.0
